cod_articulo,nom_articulo,clase_abc,urgencia,alerta,comprar,cant_master,inversion_usd,ventas_ult_3m,pred_esperada,objetivo,stock_seguridad,posicion,stock_fisico,en_camino,pendiente_entregar,alcance_meses,prob_demanda,tendencia,pedidos_taller_3m,meses_desde_ultima_venta,Fob
CACLI2018-SP-2,Inflator Assembly,C,BAJO: con cobertura,,2,1,15.0,3.0,2.7,4.4,1.6,3.0,3.0,0,0,5.5,50.0,2.0,0.0,0,7.6
DWS10501-SP-55,CARBONBRUSH,A,BAJO: con cobertura,,16,1,4.0,3.0,10.9,27.7,16.8,12.0,12.0,0,0,5.5,87.0,0.5,10.0,0,0.3
CSTLI202522-SP-49,trimmerhead,A,BAJO: con cobertura,,6,1,0.0,0.0,1.8,7.6,5.8,2.0,2.0,0,0,5.5,41.0,0.0,0.0,3,0.0
RGH9028-SP-78,Carbon Brush Holder,B,BAJO: con cobertura,,9,1,0.0,9.0,4.5,13.1,8.5,5.0,5.0,0,0,5.5,43.0,2.0,0.0,1,0.0
WGW1A21-SP-86,Fuel Cap Assembly,C,BAJO: con cobertura,,1,1,0.0,0.0,0.9,1.2,0.3,1.0,1.0,0,0,5.5,19.0,,0.0,7,0.3
MXLI2001-SP-34,Switch+Actiyator,C,BAJO: con cobertura,,1,1,0.0,1.0,0.9,1.7,0.8,1.0,1.0,0,0,5.5,28.0,2.0,0.0,2,0.0
HPWR18008-SP-39-B,MOTOR,A,BAJO: con cobertura,,14,1,296.0,7.0,9.0,23.3,14.3,10.0,10.0,0,0,5.6,74.0,1.8,5.0,0,21.1
HPWR15028-SP-6,pumpassembly,B,BAJO: con cobertura,,18,1,200.0,7.0,15.3,34.6,19.3,17.0,17.0,0,0,5.6,89.0,0.9,2.0,0,11.1
GSF16-2-SP-R.S,GSF16-2-SP-R.S,B,BAJO: con cobertura,,3,1,42.0,0.0,0.9,3.0,2.1,1.0,1.0,0,0,5.6,26.0,,0.0,6,14.1
WAY1A10-SP-H.P,High pressure paint delivery pipe,B,BAJO: con cobertura,,5,1,36.0,4.0,3.6,8.5,5.0,4.0,4.0,0,0,5.6,61.0,2.0,4.0,0,7.1
JAP15001-SP-56,Compression Roller,B,BAJO: con cobertura,,4,1,13.0,1.0,1.8,5.5,3.7,2.0,0.0,2,0,5.6,49.0,0.4,1.0,0,3.3
GE30005-SP-86,Generator Support,C,BAJO: con cobertura,,1,1,4.0,1.0,0.9,1.5,0.6,1.0,1.0,0,0,5.6,26.0,2.0,2.0,0,4.1
CACLI2026-SP-49,Pump Switch,C,BAJO: con cobertura,,1,1,1.0,2.0,1.8,2.5,0.8,2.0,2.0,0,0,5.6,44.0,2.0,4.0,0,0.5
RGH9028-SP-73,Stator,C,BAJO: con cobertura,,3,1,0.0,5.0,4.5,7.3,2.8,5.0,5.0,0,0,5.6,62.0,2.0,2.0,0,0.0
SPDB15008-SP-22,Cuttingwheel,C,BAJO: con cobertura,,1,1,0.0,0.0,1.8,2.2,0.4,2.0,2.0,0,0,5.6,72.0,,0.0,27,0.0
ACS215506-SP-5,Crank,C,BAJO: con cobertura,,1,1,0.0,0.0,1.8,2.0,0.2,2.0,2.0,0,0,5.6,75.0,,0.0,27,0.0
GHT5265511-SP-2-19-21,Knife blade,A,BAJO: con cobertura,,4,1,57.0,1.0,0.9,4.2,3.3,1.0,1.0,0,0,5.7,30.0,1.0,0.0,1,14.3
GLM196202-SP-10/15,"8""wheel set",B,BAJO: con cobertura,,4,1,22.0,0.0,1.8,5.4,3.7,2.0,2.0,0,0,5.7,27.0,0.0,0.0,5,5.5
GBC5524411-SP-O.V,Primer Bulb,B,BAJO: con cobertura,,32,1,20.0,11.0,28.8,64.9,36.1,33.0,33.0,0,0,5.7,71.0,0.7,0.0,1,0.6
CDSLI20428-SP-2,Depth control unit,C,BAJO: con cobertura,,2,1,4.0,4.0,3.5,5.7,2.3,4.0,1.0,3,0,5.7,61.0,2.0,6.0,1,2.1
RT160028-SP-S.C,Spring chuck 1/2,B,BAJO: con cobertura,,5,1,2.0,3.0,4.4,9.4,5.0,5.0,5.0,0,0,5.7,83.0,1.0,0.0,0,0.3
AC255011-SP-25,Crankshaft Case Cover,C,BAJO: con cobertura,,1,1,2.0,1.0,0.9,1.5,0.6,1.0,1.0,0,0,5.7,25.0,2.0,0.0,0,2.0
RH1600388-SP-15,X ring17.4*1.2*4,C,BAJO: con cobertura,,10,1,1.0,4.0,13.2,24.4,11.2,15.0,15.0,0,0,5.7,54.0,2.0,0.0,1,0.1
AC301008-SP-90/91,Wheel/Pin,C,BAJO: con cobertura,,1,1,0.0,1.0,0.9,1.4,0.5,1.0,1.0,0,0,5.7,25.0,2.0,1.0,0,0.0
GCS5451811-SP-A/127,BrakeHousingAssy,C,BAJO: con cobertura,,2,1,0.0,2.0,2.6,4.5,1.8,3.0,3.0,0,0,5.7,72.0,1.0,0.0,0,0.0
GHPW2003-SP-1,Engine,C,BAJO: con cobertura,,1,1,0.0,1.0,0.9,1.4,0.6,1.0,1.0,0,0,5.7,20.0,2.0,1.0,1,0.0
WEN3201-SP-51,Blade,A,BAJO: con cobertura,,32,1,56.0,10.0,24.0,60.0,36.0,28.0,28.0,0,0,5.8,87.0,0.8,10.0,0,1.8
GBC5434411-SP-1-52-55,Piston Assy,B,BAJO: con cobertura,,18,1,49.0,9.0,14.7,34.5,19.7,17.0,17.0,0,0,5.8,84.0,1.2,0.0,0,2.7
PDB13008-SP-77-82,Auxiliary handle assembly,A,BAJO: con cobertura,,13,1,24.0,9.0,10.4,24.9,14.4,12.0,12.0,0,0,5.8,88.0,1.3,10.0,0,1.9
HPWR30018-SP-37,Pressure Regulating Valve Assembly,C,BAJO: con cobertura,,1,1,6.0,0.0,1.7,2.5,0.8,2.0,2.0,0,0,5.8,28.0,,0.0,6,5.5
LM321-SP-9,Stator,C,BAJO: con cobertura,,1,1,4.0,1.0,1.7,2.6,0.9,2.0,2.0,0,0,5.8,25.0,2.0,3.0,1,3.7
RH10506-SP-11,Ratchet sleeve,A,BAJO: con cobertura,,43,1,84.0,14.0,30.7,78.1,47.4,36.0,36.0,0,0,5.9,92.0,0.7,3.0,0,2.0
HPWR28008-SP-32,Spray Lance,A,BAJO: con cobertura,,16,1,47.0,3.0,10.1,27.3,17.2,12.0,12.0,0,0,5.9,82.0,0.5,2.0,1,2.9
TPLI2001-SP-5,TPLI2001-SP-5,C,BAJO: con cobertura,,1,1,30.0,2.0,1.7,2.2,0.5,2.0,2.0,0,0,5.9,45.0,2.0,3.0,0,30.2
CIDLI201452-SP-3/6,Gear Box Assy,C,BAJO: con cobertura,,4,1,24.0,2.0,6.7,11.2,4.4,8.0,8.0,0,0,5.9,74.0,0.3,0.0,0,6.0
RT160028-SP-S.C.8,Spring chuck 8mm,B,BAJO: con cobertura,,9,1,3.0,1.0,6.0,15.5,9.6,7.0,7.0,0,0,5.9,77.0,0.2,0.0,0,0.3
UNQ_HEF81A,FRITADOR FREIDORA ELECTRICO UNA CUBA 6 LT CON TAPA COMERCIAL,A,BAJO: con cobertura,,3,1,0.0,0.0,0.9,4.0,3.1,1.0,1.0,0,0,5.9,25.0,,0.0,6,0.0
WLV20201-SP-3,HAPA,C,BAJO: con cobertura,,1,1,0.0,6.0,7.6,9.5,2.0,9.0,4.0,5,0,5.9,70.0,2.0,10.0,0,0.5
GE30005-SP-16,CylinderHeadAssembly,C,BAJO: con cobertura,,1,1,0.0,1.0,0.8,1.4,0.6,1.0,1.0,0,0,5.9,25.0,2.0,0.0,0,0.0
CRSLI1152-SP-4,Motor,C,BAJO: con cobertura,,2,0,14.0,1.0,2.5,4.8,2.3,3.0,3.0,0,0,6.0,59.0,1.0,0.0,1,7.0
AC202416-SP-45,Ball Valve,B,BAJO: con cobertura,,6,1,5.0,0.0,4.2,10.3,6.1,5.0,5.0,0,0,6.0,27.0,,0.0,6,0.8
PDB170068-SP-70,Switch(220-240V),C,BAJO: con cobertura,,2,1,3.0,1.0,4.1,7.0,2.9,5.0,5.0,0,0,6.0,49.0,0.5,0.0,0,1.6
RGH9028-SP-27-31,Model Selector Assy,C,BAJO: con cobertura,,2,1,1.0,3.0,3.3,5.8,2.4,4.0,4.0,0,0,6.0,55.0,2.0,0.0,0,0.4
SPD7508-SP-6,Back Pump Case,C,BAJO: con cobertura,,1,1,1.0,1.0,0.8,1.4,0.6,1.0,1.0,0,0,6.0,32.0,1.0,0.0,0,1.4
VPM7508-SP-4,Pumpbody,C,BAJO: con cobertura,,1,1,0.0,0.0,0.8,1.7,0.8,1.0,1.0,0,0,6.0,24.0,0.0,0.0,3,0.0
VC12202-SP-6,1000W Motor,B,BAJO: con cobertura,,4,1,34.0,3.0,3.3,7.6,4.3,4.0,4.0,0,0,6.1,64.0,1.2,0.0,1,8.4
GBC5434411-SP-F.T.C,fueltankcap,A,BAJO: con cobertura,,117,1,32.0,27.0,100.8,240.0,139.2,123.0,93.0,30,0,6.1,84.0,0.6,50.0,0,0.3
ID11008-SP-21,Rotor,C,BAJO: con cobertura,,4,1,21.0,5.0,7.4,12.5,5.1,9.0,9.0,0,0,6.1,86.0,1.1,9.0,0,5.3
PDB170068-SP-7,Locking Lever,B,BAJO: con cobertura,,10,1,9.0,0.0,3.3,13.0,9.7,4.0,4.0,0,0,6.1,28.0,0.0,0.0,5,0.9
RH1700558-SP-133,Side Handle Subassembly,C,BAJO: con cobertura,,1,1,7.0,1.0,0.8,1.3,0.5,1.0,1.0,0,0,6.1,23.0,2.0,2.0,1,6.7
VC24751-SP-83,Base,B,BAJO: con cobertura,,1,1,5.0,0.0,2.5,3.3,0.8,3.0,3.0,0,0,6.1,78.0,,0.0,27,4.7
VC14301-SP-20,REPUESTOVC14301-SP-20ESCOBILLACONGOMAGRANDE,A,BAJO: con cobertura,,13,1,0.0,11.0,6.6,20.6,14.1,8.0,8.0,0,0,6.1,65.0,1.8,10.0,1,0.0
RH10506-SP-3,Steel Frame,C,BAJO: con cobertura,,2,1,0.0,2.0,3.3,5.4,2.1,4.0,4.0,0,0,6.1,63.0,1.0,0.0,0,0.0
GDW65001-SP-64,Stator single-phase,A,BAJO: con cobertura,,3,1,476.0,1.0,0.8,3.3,2.5,1.0,1.0,0,0,6.2,19.0,2.0,1.0,2,158.7
ING-FC1301-SP-36,MIG torch,B,BAJO: con cobertura,,2,1,22.0,2.0,1.6,4.0,2.4,2.0,2.0,0,0,6.2,41.0,2.0,0.0,0,10.9
MD541141-SP-2-54,Medicine Cabinet,C,BAJO: con cobertura,,1,1,3.0,0.0,0.8,1.1,0.3,1.0,1.0,0,0,6.2,19.0,,0.0,18,3.2
RS4508-SP-22,BaseOfBallBearing,C,BAJO: con cobertura,,2,1,1.0,2.0,3.2,5.3,2.1,4.0,4.0,0,0,6.2,64.0,1.0,1.0,0,0.3
GEI23006-SP-10,Knob,C,BAJO: con cobertura,,1,1,0.0,2.0,4.8,6.7,1.9,6.0,6.0,0,0,6.2,55.0,1.0,0.0,0,0.2
GWP202-SP-1-42,ConnectingRod,C,BAJO: con cobertura,,1,1,0.0,2.0,2.4,3.4,1.0,3.0,3.0,0,0,6.2,49.0,1.3,0.0,0,0.0
GDW65001-SP-52,Fuelinjector,B,BAJO: con cobertura,,1,1,17.0,0.0,4.0,5.9,1.9,5.0,5.0,0,0,6.3,77.0,,0.0,25,17.0
HLL305205-SP-PCB,PCB,B,BAJO: con cobertura,,4,1,10.0,0.0,2.4,6.5,4.1,3.0,3.0,0,0,6.3,46.0,0.0,0.0,3,2.6
RGH9028-SP-80,Carbon Brush,A,BAJO: con cobertura,,35,1,7.0,33.0,41.9,87.9,46.1,53.0,53.0,0,0,6.3,91.0,1.5,40.0,0,0.2
DWS10508-SP-44,Dust bag assembly,B,BAJO: con cobertura,,3,1,6.0,3.0,4.0,7.9,3.9,5.0,5.0,0,0,6.3,59.0,1.2,0.0,0,1.9
CVLI201261-SP-11,PCB,C,BAJO: con cobertura,,4,1,6.0,6.0,9.6,16.0,6.4,12.0,12.0,0,0,6.3,84.0,1.3,9.0,0,1.6
RH18008-SP-13,X-ring,B,BAJO: con cobertura,,7,1,0.0,6.0,4.8,12.1,7.4,6.0,6.0,0,0,6.3,71.0,1.7,0.0,0,0.0
CSTLI20018-SP-15,Bladeplate,C,BAJO: con cobertura,,3,1,0.0,1.0,3.2,6.1,2.9,4.0,4.0,0,0,6.3,43.0,1.0,0.0,2,0.0
CIDLI20668-SP-2,drill chuck,A,BAJO: con cobertura,,52,1,131.0,82.0,84.2,159.6,75.4,108.0,10.0,100,2,6.4,92.0,1.2,92.0,0,2.5
GE65006-SP-25,Battery6-FM-9 12V9AH,A,BAJO: con cobertura,,4,1,91.0,1.0,1.6,5.8,4.3,2.0,2.0,0,0,6.4,46.0,1.0,1.0,2,22.6
AP140016-SP-42,Speed Controller,B,BAJO: con cobertura,,6,1,16.0,6.0,7.8,15.5,7.8,10.0,10.0,0,0,6.4,83.0,1.3,16.0,1,2.7
GEI35006-SP-1-24,Ignition Coil,C,BAJO: con cobertura,,1,1,6.0,1.0,0.8,1.4,0.6,1.0,1.0,0,0,6.4,22.0,2.0,0.0,0,5.6
CBNLI5005-SP-50-56,Adjusting mechanism components,C,BAJO: con cobertura,,1,1,3.0,2.0,1.6,2.5,1.0,2.0,2.0,0,0,6.4,40.0,2.0,4.0,1,2.5
AG220018-SP-21,LockingCap,C,BAJO: con cobertura,,3,1,0.0,3.0,5.5,9.7,4.2,7.0,7.0,0,0,6.4,84.0,1.2,2.0,0,0.0
CS18568-SP-55,Switch,C,BAJO: con cobertura,,1,1,0.0,0.0,0.8,1.4,0.6,1.0,1.0,0,0,6.4,18.0,,0.0,18,0.0
TS15007-SP-MOTOR,Motor,B,BAJO: con cobertura,,1,1,51.0,0.0,0.8,1.7,1.0,1.0,1.0,0,0,6.5,18.0,,0.0,18,51.1
APG15012-SP-S.P,Sanding paper,B,BAJO: con cobertura,,10,1,11.0,11.0,6.2,17.4,11.3,8.0,8.0,0,0,6.5,61.0,1.8,0.0,1,1.1
VCH22111-SP-21,HEPA,A,BAJO: con cobertura,,16,1,9.0,14.0,19.9,42.0,22.1,26.0,1.0,25,0,6.5,90.0,1.2,0.0,0,0.6
ING-MMA13049-SP-5,DC fan,B,BAJO: con cobertura,,6,1,7.0,5.0,4.6,11.1,6.5,6.0,6.0,0,0,6.5,70.0,1.7,10.0,0,1.1
GE75006-SP-14-14,"SCRAPERRINGSET,PISTON",B,BAJO: con cobertura,,2,1,0.0,0.0,0.8,2.5,1.7,1.0,1.0,0,0,6.5,14.0,,0.0,19,0.0
GPT361-2-SP-44,Blade,A,BAJO: con cobertura,,21,1,350.0,15.0,21.3,48.3,27.0,28.0,28.0,0,0,6.6,92.0,0.9,15.0,0,16.7
AHM008-SP-F.P.P,Frontprotectionplate,A,BAJO: con cobertura,,215,1,86.0,312.0,370.6,701.0,330.4,486.0,486.0,0,0,6.6,92.0,1.0,200.0,0,0.4
PDB17008-SP-23,RING,A,BAJO: con cobertura,,30,1,17.0,25.0,40.0,82.2,42.2,53.0,53.0,0,0,6.6,92.0,1.1,50.0,0,0.6
BM2S24007-SP-145,Carbon Brush,B,BAJO: con cobertura,,10,1,9.0,0.0,7.6,19.4,11.8,10.0,10.0,0,0,6.6,62.0,0.0,0.0,3,0.9
CIWLI2085-SP-8-13,Impact block assembly,C,BAJO: con cobertura,,1,1,9.0,2.0,2.3,3.3,1.1,3.0,3.0,0,0,6.6,37.0,2.0,0.0,0,8.9
RH10506-SP-8,Oil Seal,C,BAJO: con cobertura,,3,1,0.0,3.0,7.6,12.2,4.6,10.0,0.0,10,0,6.6,84.0,0.6,0.0,0,0.0
HPWR30018-SP-P.C,Pump Components Including Pressure Gauge,C,BAJO: con cobertura,,6,1,609.0,9.0,10.5,19.1,8.6,14.0,14.0,0,0,6.7,84.0,1.6,5.0,0,101.5
RS3216-SP-36,Chassis,A,BAJO: con cobertura,,216,1,274.0,372.0,382.3,730.9,348.5,515.0,515.0,0,0,6.7,92.0,1.3,460.0,0,1.3
GDE50001-SP-55-11,Alternator Rare Cover,B,BAJO: con cobertura,,2,1,0.0,0.0,2.2,4.1,1.8,3.0,3.0,0,0,6.7,56.0,,0.0,24,0.0
RH150028-SP-1-25,Front Assembly Module,A,BAJO: con cobertura,,10,1,91.0,1.0,5.2,16.7,11.5,7.0,2.0,5,0,6.8,62.0,0.7,0.0,1,9.1
GWP202-SP-1-52,RecoilStarter,A,BAJO: con cobertura,,16,1,65.0,14.0,22.9,46.7,23.8,31.0,11.0,20,0,6.8,92.0,1.0,20.0,0,4.1
HPWR28008-SP-30,Spray Gun,A,BAJO: con cobertura,,13,1,62.0,4.0,10.3,26.7,16.3,14.0,14.0,0,0,6.8,83.0,0.7,4.0,1,4.8
CIWLI20501-SP-11-14,Stator assy,C,BAJO: con cobertura,,2,1,22.0,6.0,5.8,9.6,3.7,8.0,8.0,0,0,6.8,71.0,1.2,2.0,0,10.8
BMS18001-SP-13,Rotor,B,BAJO: con cobertura,,1,1,12.0,1.0,2.2,3.3,1.1,3.0,3.0,0,0,6.8,38.0,1.0,0.0,1,11.8
CPWLI2036-SP-8,Barrel assembly,C,BAJO: con cobertura,,2,1,3.0,1.0,3.0,5.4,2.4,4.0,4.0,0,0,6.8,61.0,0.5,5.0,1,1.5
RH150028-SP-14,TELEFLEX,A,BAJO: con cobertura,,129,1,248.0,24.0,142.8,324.9,182.1,196.0,196.0,0,0,6.9,91.0,0.5,0.0,0,1.9
GCP100-2-SP-22,CLUTCHASSEMBLY,A,BAJO: con cobertura,,6,1,113.0,3.0,2.9,9.3,6.4,4.0,4.0,0,0,6.9,66.0,2.0,5.0,0,18.9
HPWR12008-SP-11,PressureHoseAssy6510,A,BAJO: con cobertura,,17,1,96.0,1.0,9.5,29.1,19.6,13.0,13.0,0,0,6.9,76.0,0.3,0.0,0,5.6
AG110038-SP-36,Carbon Brush,A,BAJO: con cobertura,,62,1,46.0,55.0,65.6,151.6,86.0,90.0,90.0,0,0,6.9,92.0,1.1,40.0,0,0.8
CS18568-SP-47,Stator,B,BAJO: con cobertura,,4,1,30.0,1.0,2.2,6.2,4.0,3.0,3.0,0,0,6.9,47.0,1.0,2.0,2,7.5
GWP102-SP-1-52,CARBURETOR,B,BAJO: con cobertura,,5,1,21.0,5.0,5.1,11.8,6.8,7.0,7.0,0,0,6.9,74.0,2.0,6.0,0,4.1
CRHLI20288-SP-5/6,Controller components,C,BAJO: con cobertura,,2,1,18.0,0.0,2.9,5.9,3.0,4.0,4.0,0,0,6.9,46.0,0.0,0.0,3,8.9
APS1512-SP-43,"6"" Pad",B,BAJO: con cobertura,,4,1,11.0,2.0,7.3,13.3,6.1,10.0,10.0,0,0,6.9,62.0,0.7,0.0,0,2.8
PDB130018-SP-16,O-ring  28.4X3.5,B,BAJO: con cobertura,,11,1,5.0,6.0,13.0,28.8,15.8,18.0,18.0,0,0,6.9,82.0,1.3,0.0,0,0.4
SCM120-SP-15/17-19/21/22/26,Terminal cover,C,BAJO: con cobertura,,1,1,3.0,0.0,1.4,2.6,1.2,2.0,2.0,0,0,6.9,37.0,0.0,0.0,3,2.8
HPWR30018-SP-36,Check Valve,C,BAJO: con cobertura,,1,1,0.0,2.0,3.6,5.9,2.2,5.0,5.0,0,0,6.9,54.0,1.3,0.0,1,0.4
RH17001-SP-98,Rotor,C,BAJO: con cobertura,,1,1,0.0,0.0,0.7,1.2,0.5,1.0,1.0,0,0,6.9,18.0,,0.0,18,0.0
WGM1543-SP-1-5,Starter Assy,A,BAJO: con cobertura,,272,1,846.0,42.0,225.3,586.7,361.4,315.0,315.0,0,0,7.0,86.0,0.5,118.0,0,3.1
HPWR30018-SP-G.H.A,Gun handle assembly,A,BAJO: con cobertura,,16,1,123.0,6.0,12.8,33.1,20.3,18.0,8.0,12,2,7.0,86.0,1.3,4.0,0,7.7
WAP3A24-SP-59,Check Valve,A,BAJO: con cobertura,,12,1,12.0,5.0,9.3,25.0,15.7,13.0,13.0,0,0,7.0,87.0,0.8,0.0,0,1.0
PDG5501-SP-1,chuck,B,BAJO: con cobertura,,7,1,8.0,6.0,6.4,15.6,9.1,9.0,9.0,0,0,7.0,79.0,1.1,0.0,0,1.1
GBC5434411-SP-2-23,Nut M10,B,BAJO: con cobertura,,20,1,1.0,18.0,28.7,59.3,30.6,40.0,40.0,0,0,7.0,84.0,1.2,0.0,0,0.0
WLC30001-SP-51,Switch,B,BAJO: con cobertura,,4,1,0.0,0.0,2.9,7.8,4.9,4.0,4.0,0,0,7.0,49.0,0.0,0.0,3,0.0
WXU1307-SP-2-5,Branch cutter blade,A,BAJO: con cobertura,,4,1,176.0,2.0,1.4,5.6,4.2,2.0,2.0,0,0,7.1,39.0,2.0,4.0,1,43.9
GLM141181-SP-B46,Deck,B,BAJO: con cobertura,,2,1,62.0,0.0,0.7,2.7,2.0,1.0,1.0,0,0,7.1,15.0,,0.0,10,31.1
HPWR16008-SP-2-1,HC8040HB motor,C,BAJO: con cobertura,,2,1,39.0,2.0,4.9,8.4,3.5,7.0,1.0,6,0,7.1,58.0,0.8,3.0,0,19.4
CSSLI203083-SP-M.B,Moving blade,A,BAJO: con cobertura,,13,1,29.0,11.0,12.7,30.4,17.7,18.0,6.0,12,0,7.1,89.0,1.7,16.0,0,2.2
WLC30001-SP-W.P,Water Pump,A,BAJO: con cobertura,,5,1,16.0,1.0,2.1,7.8,5.7,3.0,0.0,3,0,7.1,45.0,1.0,0.0,0,3.2
HPWR30018-SP-26,Connecting Rod,C,BAJO: con cobertura,,1,1,0.0,0.0,1.4,2.6,1.2,2.0,2.0,0,0,7.1,28.0,0.0,0.0,4,0.4
VC14301-SP-43,Motor,A,BAJO: con cobertura,,15,1,261.0,5.0,10.4,29.9,19.5,15.0,15.0,0,0,7.2,85.0,2.0,12.0,0,17.4
WGM1543-SP-2-19,Gear Case,A,BAJO: con cobertura,,10,1,62.0,3.0,4.8,16.4,11.5,7.0,7.0,0,0,7.2,57.0,2.0,8.0,0,6.2
GPT361-2-SP-68,Throttble Cable,A,BAJO: con cobertura,,10,1,31.0,6.0,10.4,24.9,14.6,15.0,15.0,0,0,7.2,74.0,2.0,14.0,0,3.1
GWP202-SP-16,REPUESTOGWP202-SP-16PUMPVANE,B,BAJO: con cobertura,,7,1,5.0,6.0,8.3,18.3,10.0,12.0,2.0,10,0,7.2,84.0,1.5,5.0,0,0.6
HPWR15028-SP-5,WaterConnector,A,BAJO: con cobertura,,80,1,54.0,60.0,127.3,265.8,138.5,186.0,186.0,0,0,7.3,78.0,0.9,40.0,1,0.7
WAY1A10-SP-N,Nozzle,A,BAJO: con cobertura,,17,1,36.0,8.0,15.1,38.7,23.6,22.0,22.0,0,0,7.3,87.0,0.9,26.0,0,2.1
WAP3A24-SP-3,AIR FILTER,A,BAJO: con cobertura,,22,1,12.0,31.0,31.3,67.1,35.8,46.0,46.0,0,0,7.3,91.0,1.4,0.0,0,0.5
CGSLI2058-SP-18/19,motor assembly,C,BAJO: con cobertura,,1,1,4.0,4.0,3.4,5.7,2.3,5.0,5.0,0,0,7.3,72.0,1.3,0.0,0,3.7
GCP125-2-SP-R.S,RecoilStarter,B,BAJO: con cobertura,,2,1,0.0,0.0,0.7,2.0,1.3,1.0,1.0,0,0,7.3,14.0,,0.0,19,0.0
DDM28001-SP-1,Rotor,B,BAJO: con cobertura,,2,1,0.0,1.0,0.7,2.1,1.4,1.0,1.0,0,0,7.3,19.0,2.0,0.0,2,0.0
BAS3502-SP-42,RubberBand,C,BAJO: con cobertura,,1,1,0.0,1.0,0.7,1.1,0.4,1.0,1.0,0,0,7.3,19.0,2.0,0.0,2,0.0
CVLI2001-SP-17,Pcb,C,BAJO: con cobertura,,1,1,0.0,0.0,1.4,2.0,0.7,2.0,2.0,0,0,7.3,34.0,0.0,0.0,5,0.0
AC402001-SP-M.H,MachineHead,A,BAJO: con cobertura,,3,1,225.0,1.0,0.7,3.3,2.7,1.0,1.0,0,0,7.4,23.0,2.0,0.0,2,75.1
CPM7508-SP-10,MechanicalSeal,B,BAJO: con cobertura,,5,1,3.0,1.0,2.7,8.0,5.3,4.0,4.0,0,0,7.4,61.0,1.0,0.0,1,0.6
MX214008-SP-32,Rotor,B,BAJO: con cobertura,,3,1,16.0,0.0,2.0,5.5,3.5,3.0,3.0,0,0,7.5,43.0,0.0,0.0,4,5.3
PDB22001-SP-80/86,Main Handle Component,C,BAJO: con cobertura,,1,1,5.0,2.0,2.0,3.1,1.1,3.0,3.0,0,0,7.5,42.0,2.0,5.0,0,5.4
CS18538-SP-18/20,outer/clampingflange,B,BAJO: con cobertura,,6,1,4.0,1.0,6.0,14.6,8.7,9.0,9.0,0,0,7.5,74.0,0.5,4.0,2,0.7
WAP3A24-SP-19,Breath Pipe,B,BAJO: con cobertura,,8,1,3.0,8.0,12.0,25.7,13.8,18.0,18.0,0,0,7.5,90.0,0.7,0.0,0,0.4
TS15008-SP-213,Brush,A,BAJO: con cobertura,,7,1,0.0,3.0,5.3,14.5,9.2,8.0,8.0,0,0,7.5,83.0,1.2,0.0,0,0.0
GCP100-2-SP-7,SHOCKABSORBERFORVIBRATINGPLATE,A,BAJO: con cobertura,,6,1,46.0,4.0,5.9,14.0,8.1,9.0,4.0,5,0,7.6,86.0,1.0,5.0,0,7.7
RGH9528-SP-84,Switch,B,BAJO: con cobertura,,5,1,11.0,5.0,4.6,11.2,6.6,7.0,7.0,0,0,7.6,71.0,1.4,0.0,0,2.2
LMLI20202-SP-28,LMLI20202-SP-28,B,BAJO: con cobertura,,2,1,5.0,2.0,1.3,3.9,2.5,2.0,2.0,0,0,7.6,36.0,2.0,0.0,1,2.6
CGTLI20301-SP-30,Cover Grass,B,BAJO: con cobertura,,5,1,4.0,6.0,5.3,12.4,7.1,8.0,8.0,0,0,7.6,72.0,2.0,5.0,0,0.7
HPWR-ORING HOSE,Oring chico para mangueras de hidrolavadoras,A,BAJO: con cobertura,,34,1,0.0,13.0,19.7,63.6,43.9,30.0,30.0,0,0,7.6,73.0,0.8,0.0,2,0.0
HPWR12008-SP-24/25,HandleMerge&SectorHeadAssy,A,BAJO: con cobertura,,14,1,79.0,0.0,8.4,26.0,17.6,13.0,2.0,12,1,7.7,64.0,0.0,0.0,3,5.6
GPT361-2-SP-49,BeltCover,B,BAJO: con cobertura,,3,1,7.0,3.0,3.3,7.3,4.1,5.0,5.0,0,0,7.7,55.0,2.0,1.0,0,2.2
RH1500528-SP-38,Fluorin O-RingF30.5×F3.5,C,BAJO: con cobertura,,1,1,4.0,3.0,2.0,3.3,1.4,3.0,3.0,0,0,7.7,50.0,2.0,0.0,0,3.9
RS8008-SP-31,Reciprocating shaft Assy,C,BAJO: con cobertura,,1,1,3.0,1.0,1.3,2.3,1.0,2.0,2.0,0,0,7.7,30.0,2.0,0.0,2,2.7
RS3208-SP-33,carbonbrush,A,BAJO: con cobertura,,5,1,0.0,0.0,2.0,7.9,5.9,3.0,3.0,0,0,7.7,44.0,0.0,0.0,5,0.0
GE90006-SP-25,STORAGE BATTERY6DM14,B,BAJO: con cobertura,,2,1,47.0,0.0,0.6,2.2,1.5,1.0,1.0,0,0,7.8,17.0,0.0,0.0,5,23.6
GLM141181-SP-33,AIRFILTERELEMENT,A,BAJO: con cobertura,,14,1,27.0,7.0,14.7,36.7,22.0,23.0,23.0,0,0,7.8,84.0,0.9,5.0,0,1.9
CVLI201261-SP-4,HEPA filter assembly,A,BAJO: con cobertura,,33,1,19.0,27.0,31.5,81.1,49.6,49.0,49.0,0,0,7.8,89.0,1.6,40.0,0,0.6
GBC5434411-SP-1-36,Carburetor,A,BAJO: con cobertura,,68,1,407.0,83.0,134.8,279.2,144.5,212.0,86.0,126,0,7.9,91.0,1.0,94.0,0,6.0
